Abacavir (sulfato) 	Glaxosmithkline 	ZIAGENAVIR 	101070234 	20 mg/mL 	sol or 	30/11/2012
Abacavir (sulfato) 	Glaxosmithkline 	ZIAGENAVIR 	101070234 	300 mg 	com rev 	30/11/2012
Abiraterona (acetato) 	Janssen Cilag 	ZYTIGA 	112363401 	250mg 	com 	2/8/2013
Acebrofilina 	Aché 	BRONDILAT 	105730127 	5mg/mL 	xpe 	7/10/2013
Acebrofilina 	Aché 	BRONDILAT 	105730127 	10 mg/mL 	xpe 	7/10/2013
Acebrofilina 	Eurofarma 	FILINAR G 	100431086 	5mg/ml 	gel or 	29/10/2014
Aceclofenaco 	Eurofarma 	PROFLAM 	100430817 	100mg 	com rev 	12/11/2012
Aceclofenaco 	Eurofarma 	PROFLAM 	100430817 	15mg/g 	crem derm 	12/11/2012
Acetazolamida 	União Química 	DIAMOX 	104970289 	250 mg 	com 	31/1/2013
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	100mg 	gran 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	200mg 	gran 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	600mg 	gran 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	11,5mg/ml 	sol spr nas 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	20 mg/ml 	xpe 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	40mg/ml 	xpe 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	600mg 	com efev 	12/11/2012
Acetilcisteína 	Zambon 	FLUIMUCIL 	100840075 	100mg/ml 	sol inj 	12/11/2012
Ácido acetilsalicílico 	Cimed 	ÁCIDO ACETILSALICÍLICO 	143810104 	100mg 	com 	12/11/2012
Ácido acetilsalicílico 	Bayer 	ASPIRINA 	170560020 	500mg 	com 	12/11/2012
Ácido acetilsalicílico 	Bayer 	ASPIRINA 	170560020 	500mg 	com efev 	12/11/2012
Ácido acetilsalicílico 	Bayer 	ASPIRINA BUFFERED 	170560022 	500mg 	com (tamponado) 	12/11/2012
Ácido acetilsalicílico 	Bayer 	ASPIRINA PREVENT 	170560022 	100mg 	com rev lib retard 	12/11/2012
Ácido acetilsalicílico 	Bayer 	ASPIRINA PREVENT 	170560022 	300mg 	com rev lib retard 	12/11/2012
Ácido acetilsalicílico 	Novartis Biociências 	BUFFERIN CARDIO 	100681045 	81mg 	com rev 	12/11/2012
Ácido ursodesoxicólico 	Zambon 	URSACOL 	100840067 	50mg 	com 	23/9/2014
Ácido ursodesoxicólico 	Zambon 	URSACOL 	100840067 	150mg 	com 	23/9/2014
Ácido ursodesoxicólico 	Zambon 	URSACOL 	100840067 	300mg 	com 	23/9/2014
Ácido valpróico 	Abbott 	DEPAKENE 	105530315 	250mg 	cap mole 	12/11/2012
Ácido tióctico 	Merck S/A 	THIOCTACID 	100890330 	600mg 	com rev 	21/1/2013
